Flow Start,Previous Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Min Packet Length,Max Packet Length,Flow IAT Sum,Fwd IAT Sum,Bwd IAT Sum,Fwd IAT Count,Bwd IAT Count,SYN Flag Count,ACK Flag Count,PSH Flag Count,FIN Flag Count,RST Flag Count,Flow Bytes/s,Flow Packets/s,Down/Up Ratio,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean
1753538555.170344,1753538555.170344,0.0001,1,0,82,0,82,82,0,0.0,0.0,1,0,0,0,0,0,0,820000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.170344,1753538555.1716516,0.0013074874877929688,2,0,164,0,82,82,0,0.0013074874877929688,0.0,2,0,0,0,0,0,0,125431.41064916119,1529.6513493800146,0.0,1529.6513493800146,0.0,0.0,0.0006537437438964844,0.0
1753538555.1727183,1753538555.1727183,0.0001,1,0,87,0,87,87,0,0.0,0.0,1,0,0,0,0,0,0,870000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.173802,1753538555.173802,0.0001,1,0,179,0,179,179,0,0.0,0.0,1,0,0,0,0,0,0,1790000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.3670359,1753538555.3670359,0.0001,1,0,82,0,82,82,0,0.0,0.0,1,0,0,0,0,0,0,820000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.3670359,1753538555.3684766,0.0014407634735107422,2,0,164,0,82,82,0,0.0014407634735107422,0.0,2,0,0,0,0,0,0,113828.5381433063,1388.1529041866622,0.0,1388.1529041866622,0.0,0.0,0.0007203817367553711,0.0
1753538555.3670359,1753538555.3697715,0.002735614776611328,3,0,246,0,82,82,0,0.002735614776611328,0.0,3,0,0,0,0,0,0,89924.94195572598,1096.6456336064145,0.0,1096.6456336064145,0.0,0.0,0.000911871592203776,0.0
1753538555.3670359,1753538555.3711967,0.004160881042480469,4,0,328,0,82,82,0,0.004160881042480469,0.0,4,0,0,0,0,0,0,78829.45862938346,961.3348613339446,0.0,961.3348613339446,0.0,0.0,0.0010402202606201172,0.0
1753538555.3723354,1753538555.3723354,0.0001,1,0,167,0,167,167,0,0.0,0.0,1,0,0,0,0,0,0,1670000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.411974,1753538555.411974,0.0001,1,0,66,0,66,66,0,0.0,0.0,1,0,1,0,0,0,0,660000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1753538555.411974,1753538555.4197924,0.007818460464477539,1,1,66,66,66,66,0,0.0,0.007818460464477539,1,1,2,1,0,0,0,16883.119202268776,255.80483639801176,1.0,127.90241819900588,127.90241819900588,0.0,0.0,0.007818460464477539
1753538555.411974,1753538555.4208028,0.008828878402709961,2,1,120,66,54,66,0,0.0010104179382324219,0.007818460464477539,2,1,2,2,0,0,0,21067.22864626934,339.79401042369904,0.5,226.52934028246605,113.26467014123303,0.0,0.0005052089691162109,0.007818460464477539
1753538555.411974,1753538555.425141,0.013167142868041992,3,1,941,66,54,821,0,0.005348682403564453,0.007818460464477539,3,1,2,3,1,0,0,76478.24665471599,303.7864812501132,0.3333333333333333,227.8398609375849,75.9466203125283,0.0,0.0017828941345214844,0.007818460464477539
1753538555.411974,1753538555.4268117,0.01483774185180664,3,2,941,122,54,821,0,0.005348682403564453,0.009489059448242188,3,2,2,4,1,0,0,71641.62920590032,336.97850049812,0.6666666666666666,202.187100298872,134.791400199248,0.0,0.0017828941345214844,0.004744529724121094
